timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1666938713010,1659,LaunchApp_01,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-1,,true,,6112,2575,5,5,null,0,2011,0
1666938715016,517,LaunchApp-1,200,OK,Thread Group 1-1,text,true,,664,448,5,5,http://3.131.93.194:1080/Webtours/,517,0,256
1666938715534,257,LaunchApp-2,200,OK,Thread Group 1-1,text,true,,1007,504,5,5,http://3.131.93.194:1080/Webtours/header.html,257,0,0
1666938715792,300,LaunchApp-3,200,OK,Thread Group 1-1,text,true,,1025,515,5,5,http://3.131.93.194:1080/cgi-bin/welcome.pl?signOff=true,300,0,0
1666938716093,258,LaunchApp-7,200,OK,Thread Group 1-1,text,true,,1659,552,5,5,http://3.131.93.194:1080/WebTours/home.html,258,0,0
1666938716352,327,LaunchApp-6,200,OK,Thread Group 1-1,text,true,,1757,556,5,5,http://3.131.93.194:1080/cgi-bin/nav.pl?in=home,321,0,0
1666938713212,1747,LaunchApp_01,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-2,,true,,6112,2575,5,5,null,0,2008,0
1666938715214,527,LaunchApp-1,200,OK,Thread Group 1-2,text,true,,664,448,5,5,http://3.131.93.194:1080/Webtours/,527,0,266
1666938715742,263,LaunchApp-2,200,OK,Thread Group 1-2,text,true,,1007,504,5,5,http://3.131.93.194:1080/Webtours/header.html,263,0,0
1666938716006,365,LaunchApp-3,200,OK,Thread Group 1-2,text,true,,1025,515,5,5,http://3.131.93.194:1080/cgi-bin/welcome.pl?signOff=true,359,0,0
1666938716373,261,LaunchApp-7,200,OK,Thread Group 1-2,text,true,,1659,552,5,5,http://3.131.93.194:1080/WebTours/home.html,261,0,0
1666938716636,331,LaunchApp-6,200,OK,Thread Group 1-2,text,true,,1757,556,5,5,http://3.131.93.194:1080/cgi-bin/nav.pl?in=home,327,0,0
1666938713411,1759,LaunchApp_01,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-3,,true,,6112,2575,5,5,null,0,2007,0
1666938715413,563,LaunchApp-1,200,OK,Thread Group 1-3,text,true,,664,448,5,5,http://3.131.93.194:1080/Webtours/,563,0,305
1666938715977,316,LaunchApp-2,200,OK,Thread Group 1-3,text,true,,1007,504,5,5,http://3.131.93.194:1080/Webtours/header.html,316,0,0
1666938716294,308,LaunchApp-3,200,OK,Thread Group 1-3,text,true,,1025,515,5,5,http://3.131.93.194:1080/cgi-bin/welcome.pl?signOff=true,306,0,0
1666938716603,263,LaunchApp-7,200,OK,Thread Group 1-3,text,true,,1659,552,5,5,http://3.131.93.194:1080/WebTours/home.html,262,0,0
1666938716867,309,LaunchApp-6,200,OK,Thread Group 1-3,text,true,,1757,556,5,5,http://3.131.93.194:1080/cgi-bin/nav.pl?in=home,308,0,0
1666938713609,1686,LaunchApp_01,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-4,,true,,6112,2575,5,5,null,0,2006,0
1666938715611,517,LaunchApp-1,200,OK,Thread Group 1-4,text,true,,664,448,5,5,http://3.131.93.194:1080/Webtours/,517,0,260
1666938716129,258,LaunchApp-2,200,OK,Thread Group 1-4,text,true,,1007,504,5,5,http://3.131.93.194:1080/Webtours/header.html,258,0,0
1666938716388,351,LaunchApp-3,200,OK,Thread Group 1-4,text,true,,1025,515,5,5,http://3.131.93.194:1080/cgi-bin/welcome.pl?signOff=true,351,0,0
1666938716740,257,LaunchApp-7,200,OK,Thread Group 1-4,text,true,,1659,552,5,5,http://3.131.93.194:1080/WebTours/home.html,257,0,0
1666938716998,303,LaunchApp-6,200,OK,Thread Group 1-4,text,true,,1757,556,5,5,http://3.131.93.194:1080/cgi-bin/nav.pl?in=home,300,0,0
1666938713809,1662,LaunchApp_01,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-5,,true,,6112,2575,5,5,null,0,2011,0
1666938715814,505,LaunchApp-1,200,OK,Thread Group 1-5,text,true,,664,448,5,5,http://3.131.93.194:1080/Webtours/,505,0,252
1666938716321,252,LaunchApp-2,200,OK,Thread Group 1-5,text,true,,1007,504,5,5,http://3.131.93.194:1080/Webtours/header.html,252,0,0
1666938716574,352,LaunchApp-3,200,OK,Thread Group 1-5,text,true,,1025,515,5,5,http://3.131.93.194:1080/cgi-bin/welcome.pl?signOff=true,348,0,0
1666938716928,252,LaunchApp-7,200,OK,Thread Group 1-5,text,true,,1659,552,5,5,http://3.131.93.194:1080/WebTours/home.html,252,0,0
1666938717180,301,LaunchApp-6,200,OK,Thread Group 1-5,text,true,,1757,556,5,5,http://3.131.93.194:1080/cgi-bin/nav.pl?in=home,301,0,0
1666938716682,1678,Login_02,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-1,,true,,3753,2094,5,5,null,0,8026,0
